LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,Concentration,ADC
14,1.03869690187088,1.036878942986165,0.6564336443423853,1.366213183712831,0.0297522248222501,44,20240708,P0009,full,R2,ADC_fix,1,online,30.0,876.0
1,1.7442252859473228,1.7832174897193909,1.1530994176864624,2.084265947341919,0.0642537067149478,48,20240708,P0009,full,T1,T1mimics_fix,1,CGv1,0.29,
2,1.4681678712368011,1.4902009963989258,1.1135740280151367,1.885208249092102,0.0296676354910513,48,20240708,P0009,full,T1,T1mimics_fix,1,CGv1,0.6,
3,0.9859678555042186,1.0157979726791382,0.5936821103096008,1.156468152999878,0.0162450791641587,47,20240708,P0009,full,T1,T1mimics_fix,1,CGv1,1.04,
4,0.689704205840826,0.6979649662971497,0.5349062085151672,0.7988118529319763,0.0037518730540155,48,20240708,P0009,full,T1,T1mimics_fix,1,CGv1,1.64,
5,0.4894837382829414,0.495584487915039,0.33299121260643,0.5619289875030518,0.0023178740075654,53,20240708,P0009,full,T1,T1mimics_fix,1,CGv1,2.52,
6,0.3514345404455217,0.3542551696300506,0.2992389798164367,0.3923623859882355,0.0004696008437113,59,20240708,P0009,full,T1,T1mimics_fix,1,CGv1,3.68,
7,0.265876688890987,0.2663666903972626,0.2559811770915985,0.2746323049068451,2.6890991393714984e-05,36,20240708,P0009,full,T1,T1mimics_fix,1,CGv1,5.43,
8,0.2022339165210724,0.2022254988551139,0.195937767624855,0.2092837393283844,9.269042587598531e-06,40,20240708,P0009,full,T1,T1mimics_fix,1,CGv1,7.74,
9,0.1315073987299745,0.1312552988529205,0.1285272240638733,0.1364384442567825,3.733639125067633e-06,44,20240708,P0009,full,T1,T1mimics_fix,1,CGv1,11.3,
10,0.0894429127757365,0.0889302641153335,0.0858370810747146,0.1008165627717971,7.063805780301902e-06,39,20240708,P0009,full,T1,T1mimics_fix,1,CGv1,16.5,
11,0.0659545408561825,0.0648760683834552,0.0607405602931976,0.0744382068514823,1.0604666204898882e-05,40,20240708,P0009,full,T1,T1mimics_fix,1,CGv1,23.3,
12,0.0473036549582674,0.0467364452779293,0.041528932750225,0.0549245215952396,9.048649771801049e-06,37,20240708,P0009,full,T1,T1mimics_fix,1,CGv1,32.7,
13,0.0317385888805514,0.0311953769996762,0.0266090352088212,0.0392361097037792,1.1410852997238984e-05,38,20240708,P0009,full,T1,T1mimics_fix,1,CGv1,46.0,
14,0.0190130648184812,0.0228691855445504,0.0010000000474974,0.0333402343094348,0.0001056300043473,38,20240708,P0009,full,T1,T1mimics_fix,1,CGv1,65.3,
1,1.4972355298276216,1.4863662719726562,0.9185210466384888,2.0494651794433594,0.0767143983666826,53,20240708,P0009,full,T1,T2mimics_fix,1,CGv1,0.0113,
2,1.5730237212291984,1.568779706954956,0.9521655440330504,2.2898590564727783,0.0649371658264557,43,20240708,P0009,full,T1,T2mimics_fix,1,CGv1,0.0181,
3,1.0190891036911616,1.0298346281051636,0.6352306008338928,1.290706753730774,0.0237996149161573,63,20240708,P0009,full,T1,T2mimics_fix,1,CGv1,0.0282,
4,0.7800707626342773,0.8023514747619629,0.5529070496559143,0.9036378264427184,0.0057534544322043,50,20240708,P0009,full,T1,T2mimics_fix,1,CGv1,0.0434,
5,0.5668102006117502,0.5662625432014465,0.4294964969158172,0.6332067847251892,0.0015281488472764,45,20240708,P0009,full,T1,T2mimics_fix,1,CGv1,0.0673,
6,0.4555276819303924,0.4586037099361419,0.3788350522518158,0.4999155104160309,0.0008910035591242,51,20240708,P0009,full,T1,T2mimics_fix,1,CGv1,0.0934,
