LabelValue,Mean,Min,Max,Variance,Subject,Session,Run,Seg,SoftwareVersions
6.0,1.5304942872180394,926.0,3146.0,237680.4556022538,P0003,20230928180538,2,T1,8.6.0
7.0,1.2018977105100321,174.0,2594.0,187771.4874650368,P0003,20230928180538,2,T1,8.6.0
8.0,0.8590653625131128,33.0,1812.0,118758.2715729232,P0003,20230928180538,2,T1,8.6.0
9.0,0.6471685708778753,2.0,1338.0,46571.22763164636,P0003,20230928180538,2,T1,8.6.0
10.0,0.3256175578494883,200.0,780.0,17982.746980819324,P0003,20230928180538,2,T1,8.6.0
11.0,0.17901162094743767,40.0,681.0,19227.205132790845,P0003,20230928180538,2,T1,8.6.0
12.0,0.13619585391042296,33.0,591.0,10360.538996554696,P0003,20230928180538,2,T1,8.6.0
13.0,0.10959214484394784,22.0,568.0,9259.720701153963,P0003,20230928180538,2,T1,8.6.0
14.0,0.13182188886348242,22.0,748.0,20190.66624983546,P0003,20230928180538,2,T1,8.6.0
1.0,2.127395362680125,2267.0,3421.0,69887.95324675278,P0003,20230928180538,2,T2,8.6.0
2.0,2.1368793478778425,2185.0,3376.0,82132.00512032739,P0003,20230928180538,2,T2,8.6.0
3.0,1.9101375346926104,1923.0,2939.0,49426.21402969764,P0003,20230928180538,2,T2,8.6.0
4.0,1.7828261019463467,1796.0,2802.0,61602.81558441574,P0003,20230928180538,2,T2,8.6.0
5.0,1.7301981398602417,1836.0,2761.0,62242.07117255465,P0003,20230928180538,2,T2,8.6.0
6.0,1.55890602416465,1743.0,2456.0,39650.75102279361,P0003,20230928180538,2,T2,8.6.0
7.0,1.1626964419478865,1177.0,1931.0,22658.353613053838,P0003,20230928180538,2,T2,8.6.0
8.0,0.7290149508759687,784.0,1233.0,9971.71158192092,P0003,20230928180538,2,T2,8.6.0
9.0,0.3409574236191683,268.0,666.0,9192.641065028163,P0003,20230928180538,2,T2,8.6.0
10.0,0.09631285503523204,16.0,353.0,7749.6371584699455,P0003,20230928180538,2,T2,8.6.0
11.0,0.08733554724466712,57.0,200.0,1478.7891712038709,P0003,20230928180538,2,T2,8.6.0
12.0,0.10826773028229639,69.0,260.0,2057.4824561403507,P0003,20230928180538,2,T2,8.6.0
13.0,0.11796344751497292,36.0,343.0,7813.950841750841,P0003,20230928180538,2,T2,8.6.0
14.0,0.11110909225799362,44.0,282.0,4146.401110523533,P0003,20230928180538,2,T2,8.6.0
1.0,1.7471061780712254,294.0,3709.0,676567.2429850745,P0003,20231003162834,1,T1,8.6.0
2.0,1.918802104959244,863.0,3754.0,386475.07152745686,P0003,20231003162834,1,T1,8.6.0
3.0,1.9042668006772063,1042.0,3636.0,277421.1310311235,P0003,20231003162834,1,T1,8.6.0
4.0,1.6566090075136881,359.0,3393.0,459800.0131518224,P0003,20231003162834,1,T1,8.6.0
5.0,1.6354939816740526,979.0,3672.0,336125.42354873015,P0003,20231003162834,1,T1,8.6.0
6.0,1.5322963754621377,1003.0,3186.0,228338.90986233324,P0003,20231003162834,1,T1,8.6.0
